releasedate,startdate,enddate,buyer,buyer_matched_name,level1,ocid,contactname,title,description,value,currency
2019-01-30 00:00:00+00,2019-01-30 00:00:00+00,2019-02-13 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0070-8749,,FSAC Multimedia Assessment Delivery Website Development CCIS19A01,"Provide an online website that delivers automated exercise administration of exercises to enable the running of Fast-Stream-Assessment-Centres involving circa5000 candidates p.a.Continued support during the testing/implementation phase if changes are required. Low-level support may be needed during the contract, where technical changes cannot be resolved by FSET-staff with administrator rights.
A website that delivers exercises(written and hosted by authority), for 2 years, and allows:•Various content formats: text/images/graphs/animations/fictitious maps/audio/pop-up reminders/video with content control.•Content adaptation/optional features for visual or hearing requirements e.g. Font Size/Volume/Contrast/Subtitles/export to print.•Stable, secure and robust delivery with automatic recovery.•Secure logins and access rights.•Enhanced item(TEI) types with intuitive navigation.•Customisable exercise content with workflow tracking/sharing-Facilities and storage structures.•Administration and timing of components for each login.•Spell check/dictionaries.•Exercise usage-reports.•Use over various devices (Desktop/Tablet/Mobile).Support needed for any changes or fixes required for the duration of contract.",,
2019-01-30 00:00:00+00,2019-01-30 00:00:00+00,2019-02-13 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0070-8749,,FSAC Multimedia Assessment Delivery Website Development CCIS19A01,"Provide an online website that delivers automated exercise administration of exercises to enable the running of Fast-Stream-Assessment-Centres involving circa5000 candidates p.a.Continued support during the testing/implementation phase if changes are required. Low-level support may be needed during the contract, where technical changes cannot be resolved by FSET-staff with administrator rights.
A website that delivers exercises(written and hosted by authority), for 2 years, and allows:•Various content formats: text/images/graphs/animations/fictitious maps/audio/pop-up reminders/video with content control.•Content adaptation/optional features for visual or hearing requirements e.g. Font Size/Volume/Contrast/Subtitles/export to print.•Stable, secure and robust delivery with automatic recovery.•Secure logins and access rights.•Enhanced item(TEI) types with intuitive navigation.•Customisable exercise content with workflow tracking/sharing-Facilities and storage structures.•Administration and timing of components for each login.•Spell check/dictionaries.•Exercise usage-reports.•Use over various devices (Desktop/Tablet/Mobile).Support needed for any changes or fixes required for the duration of contract.",,
2019-12-27 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-618393-2019,,Energy Trading System,To provide CCS trading and risk teams with an energy trading system to allow management of customer aggregated basket demands for UK power and gas.,,
2019-04-09 10:53:53+00,,2019-01-31 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-60f50284-7ffb-4496-b913-2df5a24e8b8b,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,OGP - ePIMS support &amp; development,"Support and Development for ePIMS solution, ran under G-Cloud 10 Lot 3",0,GBP
2019-04-26 09:27:44+00,,2018-11-28 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-d01a764b-a12a-4f62-ba88-90fc6b476c73,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision Of Consultancy for IFRS 15 Impact Assessment &amp; Contract Reviews,Provision Of Consultancy for IFRS 15 Impact Assessment &amp; Contract Reviews,0,GBP
2017-07-07 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-261046-2017,,Agency fuel cards,"Multi source framework agreement for the supply and maintenance of a Fuel Card (or equivalent) solution and any associated services across all public sector organisations. The solution should cover but not be limited to a card based solution for the purchase of fuel and other vehicle associated services such as screen wash, car wash, oil etc. The solution should provide an online management information system to enable public sector organisations to manage their vehicle fleets more effectively.",,
2019-04-04 10:10:46+00,,2019-02-07 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-0f578762-06ee-4afa-889e-5c8d77aafb5b,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,OGP Consultancy Procurement Support,Technical support related to infrastructure and property systems.,0,GBP
2019-09-10 17:12:35+00,,2019-05-09 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-9c7453b9-050a-44c1-a752-c8adf5085036,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Recruitment Advertising and Media Buying,Provision of Recruitment Advertising and Media Buying.,0,GBP
2018-12-31 12:17:22+00,,2018-11-26 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-627ba223-ead6-419d-9c04-72419c4c17fe,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of SAN Support Renewal and SAN Upgrade,Provision of new SAN Hardware and the renewal of support contracts for SAN Hardware,268599.9,GBP
2019-05-14 11:21:37+00,,2019-03-15 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-61212a97-d69b-4472-8455-735d82342525,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Support for Functional Work and the Impact on Spending Review,"Cabinet Office Direct Award - NMNC Lot 4 Corporate Functions.

The Authority requires a supplier to assist working with the CSG and the team responsible for functional impact to develop and in-depth understanding of the requirements and pressures on fun",0,GBP
2017-05-19 00:00:00+00,,2017-06-12 00:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-189318-2017,,Legal services,"Suppliers on the Panel will be full service providers of finance and highly complex legal services, authorised and regulated by the SRA and/or appropriate regulatory bodies in other EU jurisdictions. 
This Panel Agreement covers external legal advice and full project support required by Central Government and its associated bodies, for finance and highly complex transactions including complex finance, capital markets, regulatory complex work and the most, innovative and/or strategically important projects for Central Government. Suppliers shall be able to offer market leading legal expertise and a market leading level of service in order to meet Panel Customer needs to deliver their most complex and challenging projects and matters. 
Suppliers will be will be able to provide all the Mandatory Specialisms required as set out VI.3). The Panel will cover Optional Specialisms also set out in VI.3) 
The procurement will be conducted in three (3) Stages. 
as set out in VI.3.",,
2017-01-24 14:06:00+00,,2016-09-04 00:00:00+00,H M GOVERNMENT CABINET OFFICE,,,ocds-0c46vo-0001-a98087d4-856f-435d-b10c-06f88fee29eb,GDS,NCC Services Limited,Provision of Qualified Security Assessment service.,0,GBP
2019-01-23 17:57:46+00,,2019-02-13 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-66bf7390-f555-4332-9657-ab182a09600e,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,CCCS18A16 Provision of Video Production Procurement,This is for the production of video for Cabinet Office,78000,GBP
2019-06-12 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-272150-2019,,"Media Performance, Auditing and Assurance Framework","Crown Commercial Service (CCS) plans to introduce a procurement for media performance, auditing and assurance. Crown Commercial Service and The Government Communication Service plan to work extensively with the market and customers in the coming months, in order to develop a fit-for-purpose procurement strategy.",,
2018-10-26 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-472398-2018,,Vehicle Purchase,"The types of vehicles available under this Lot includes passenger cars and 4x4 variant vehicles. The associated deliverables for Lot 1 are described within Framework Schedule 1 (Specification) of the Framework Contract. 
The types of vehicles available under this Lot includes light to medium commercial vehicles (up to but not including 7.5 tonnes) such as car derived vans, 4x4 variants and minibuses. The associated deliverables for Lot 2 are described within Framework Schedule 1 (Specification) of the Framework Contract. 
The types of vehicles available under this Lot includes medium to heavy commercial vehicles (7.5 tonnes and above). The associated deliverables for Lot 3 are described within Framework Schedule 1 (Specification) of the Framework Contract. 
The types of vehicles available under this Lot includes motorcycles, scooters and quad bikes. The associated deliverables for Lot 4 are described within Framework Schedule 1 (Specification) of the Framework Contract. 
The types of vehicles available under this Lot includes buses and coaches. The associated deliverables for Lot 5 are described within Framework Schedule 1 (Specification) of the Framework Contract. 
The types of vehicles available under this Lot includes Blue light vehicles such as passenger vehicles, 4x4 variants, all-terrain vehicles, motorcycles, scooters and quad bikes. The associated deliverables for Lot 6 are described within Framework Schedule 1 (Specification) of the Framework Contract. 
The types of vehicles available under this Lot includes Blue light, light to medium commercial vehicles such as car derived vans, 4x4 variants and minibuses. The associated deliverables for Lot 7 are described within Framework Schedule 1 (Specification) of the Framework Contract.",,
2018-09-13 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-398955-2018,,Public Sector Passenger Transport Services — Taxi and Coaches,"Suppliers 
Crown Commercial Service (CCS) would like to hear from suppliers who are interested to learn more about the DPS and requirements. 
To participate in market engagement please email travelprocurement@crowncommercial.gov.uk with the following details: 
1) Organisation name; 
2) Contact name; 
3) Job title of contact (including responsibility within your organisation); 
4) Contact phone number; 
5) Contact email; 
6) Organisation website link. 
Further updates can be found via the CCS website; 
https://ccs-agreements.cabinetoffice.gov.uk/node/7378 
The date in II.3) is the estimated date of publication, you are advised to monitor Tenders Electronic Daily for the publication of the OJEU contract notice.",,
2019-06-18 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-282409-2019,,Estate Management Services,"The strategy and underpinning lotting structure of this framework will be determined as a result of the market engagement process. Our initial position, subject to engagement is the following, the framework will deliver services in the following sub categories:— property estate management,— agency and brokerage,— surveying and strategic advice,— valuation,— business rating services,— third party supplier management,— vertical real estate services,— integrated workplace management services,— smart working solutions,— FM services — financial risk transfer models.The aim of the commercial vehicle is to ensure and assure the central government and the wider public sector are able to define and deliver strategy, standards and savings for its diverse property portfolio.",,
2019-06-21 14:04:29+00,,2019-01-10 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-6dc2cd69-bb7e-4fb1-b879-e1788150c06f,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Consultancy for Cabinet Office Programme Delivery,Cabinet Office Programme Delivery (EU Exit),0,GBP
2019-06-21 14:21:27+00,,2019-01-10 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-a323881f-16e7-45c4-b93b-c466949490b3,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Consultancy for Cabinet Office Programme Delivery,Cabinet Office Programme Delivery (EU Exit),0,GBP
2019-06-21 12:55:56+00,,2019-01-10 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-9b119158-922a-4197-9fe6-e18f7414b185,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Consultancy for Cabinet Office Programme Delivery,Cabinet Office Programme Delivery (EU Exit),0,GBP
2019-06-21 14:07:30+00,,2019-01-10 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-a857be9a-de8b-4f6c-89b6-52280ca5ffeb,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Consultancy for Cabinet Office Programme Delivery,Cabinet Office Programme Delivery (EU Exit),0,GBP
2018-10-01 00:00:00+00,2018-10-01 00:00:00+00,2018-10-15 00:00:00+00,"Government Digital Service, part of Cabinet Office",,,ocds-0c46vo-0070-7888,,WP1663 Private Beta/Beta to understand how we can move away from PSN to use networks in the future,"Private Beta/Beta showing how government migrates from PSN that:-cost-effective-maximise commercial services-maintain strong marketplace-deliver measurable security-support working across organisational boundariesThe project will gather &test evidence via beta testing, interviews with consumers and suppliers, to test &prototype how government can best adopt standards for future networks.
Provide a team to deliver Private Beta and Beta phase:-Private Beta phase:--Test the alpha standards at the network level for communications and security within and between public sector organisations-Test how public sector organisations can benefit quickly and continuously from standards implementation, improvements, whilst maintaining a consistent level of protectionBeta phase:--Establish and test an automated mechanism for ensuring that the selected standards, architectural patterns, guidance and services are being tested and deployed effectively-Deliver final report summarising the findings of the Private Beta/Beta and recommending the work that should be undertaken during the Beta/Live phase.",,
2019-05-15 00:00:00+00,2019-05-15 00:00:00+00,2019-05-29 00:00:00+00,"Government Digital Service, part of Cabinet Office",,,ocds-0c46vo-0070-9676,,WP1702: Digital Capability for Urgent EU Exit Requirements,"GDS require a supplier that can provide teams, or resources to supplement existing teams, to work on urgent EU Exit related projects. Individual statements of work (SoW) will be agreed and aligned to the discrete delivery phases that are required.
UK Government needs access at short notice to resources that can design, build, and deliver digital services in the wake of EU Exit. We are looking at placing teams within two weeks to deliver digital outcomes.",,
2019-05-14 16:06:07+00,,2019-01-01 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-3da20249-7551-4a2b-8634-1a3ada98a22e,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Consultancy Support for REDACTED,"The purpose of this requirement is to procure Consultancy Services required by the Cabinet Office (CO), to assist with gathering financial intelligence, developing a negotiation strategy, and providing specialist advice to the Government in the event of a",0,GBP
2019-06-03 11:40:16+00,,2019-02-21 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,Billy Street,"National Leadership Centre - networking, information, and community service",The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).,0,GBP
2019-06-03 11:40:16+00,,2019-02-21 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,Billy Street,"National Leadership Centre - networking, information, and community service",The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).,0,GBP
2019-06-03 11:40:16+00,,2019-02-21 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,Billy Street,"National Leadership Centre - networking, information, and community service",The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).,0,GBP
2019-06-03 11:40:16+00,,2019-02-21 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,Billy Street,"National Leadership Centre - networking, information, and community service",The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).,0,GBP
2019-06-03 11:40:16+00,,2019-02-21 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,Billy Street,"National Leadership Centre - networking, information, and community service",The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).,0,GBP
2019-06-03 11:40:16+00,,2019-02-21 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,Billy Street,"National Leadership Centre - networking, information, and community service",The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).,0,GBP
2019-06-03 11:40:16+00,,2019-02-21 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,Billy Street,"National Leadership Centre - networking, information, and community service",The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).,0,GBP
2019-06-03 11:40:16+00,,2019-02-21 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,Billy Street,"National Leadership Centre - networking, information, and community service",The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).,0,GBP
2019-06-03 11:40:16+00,,2019-02-21 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,Billy Street,"National Leadership Centre - networking, information, and community service",The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).,0,GBP
2019-06-03 11:40:16+00,,2019-02-21 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0001-b870667c-30c1-448d-b887-d3680cb886bd,Billy Street,"National Leadership Centre - networking, information, and community service",The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).,0,GBP
2018-04-12 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-157815-2018,,Utilities Switching Services,"Crown Commercial Service (CCS), as the Contracting Authority has awarded a concession contract for the supply and management of a utilities procurement engine and the management of a Dynamic Purchasing System. This will allow public sector customers to compare and switch energy tariffs and suppliers.",,
2019-03-05 12:58:36+00,,2018-12-04 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-4ddfb21b-7a48-43a3-82fd-83b0f9a69330,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Consultancy for Strategic HR and Organisational Design Capability,Consultancy required for strategic HR and organisational design capability to support Civil Service Group,0,GBP
2017-06-27 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-243010-2017,,,,,
2019-08-27 00:00:00+00,2019-08-27 00:00:00+00,2019-09-10 00:00:00+00,"The Office of Government Property, Cabinet Office",,,ocds-0c46vo-0070-9705,,The Digital National Asset Register Proof of Concept - Bespoke Solution,"Design, build and operate of a proof-of-concept (PoC) for a cross-public sector property data solution.  The PoC will demonstrate - Automated collection data from a designated government database and 3rd party sources.  - Use of this data to create dashboards, reports and analytics using Business Intelligence and Geospatial tools.
OGP’s  electronic property information mapping service (e-PIMS) is used extensively across government with data, for the vast majority, manually updated. Analytics and upgrade potential are limited.  The Authority requires greater self-service capability to:•	import data from multiple sources automatically•	ensure input data accuracy •	create dashboards, reports and geo-spatial outputs•	manage user access to the data and viewsThe Authority requires a cloud-based Proof of Concept that uses software components that are readily available Commercial-Off-The-Shelf products integrated to meet the requirements.   Solutions based on pre-integrated components in a single offering will be procured in a separate exercise.",,
2019-02-07 00:00:00+00,2019-02-07 00:00:00+00,2019-02-21 00:00:00+00,"National Leadership Centre, part of the Cabinet Office",,,ocds-0c46vo-0070-8984,,"Networking, Information and Community Service for new National Leadership Centre (Cabinet Office)","The service will enable users to find information about the new Leadership Centre serving the most senior leaders in the public services. This will include enabling the leaders to connect with each other and to provide a simple route for applications for the programme (low volume).
The new Leadership Centre needs to build its presence, advertise its programme, share its expertise and connect senior leaders of the public services. The Centre is being created to address the skills needs of the most senior public services leaders and their isolation; the idea that ""it's lonely at the top"", and conducts research into the most effective interventions. The service will act to support these three areas and to help build the brand of the new Centre as it launches. The original report can be found here https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/752064/6.4846_CO_CPSL-Report_A4-P_WEB_NoLogo__002_.pdf)",,
2017-06-28 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-245567-2017,,,,,
2019-09-12 00:00:00+00,,,Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-428964-2019,,Energy Trading System,To provide CCS trading and risk teams with an energy trading system to allow management of customer aggregated basket demands for UK power and gas.,,
2019-09-12 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-428491-2019,,Courier Services,"Courier services:Early thinking is that services will be broken down into framework lots including (but not limited to), the following draft courier services:— collection and delivery,— secure collection and delivery,— secure collection and delivery and storage for examination papers,— dedicated network,— collection and delivery of specimens, samples, pharmaceutical and controlled drugs,— regional courier,— security screening,— collection and delivery of firearms and explosives,— collection and delivery of radioactive materials.",,
2019-09-12 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-428485-2019,,Corporate Finance Services 2,The lot is to provide advisory services related to the corporate finance requirements of public sector organisations. To provide public sector customers including HM Treasury an efficient and agile route to market for the delivery of transactional corporate finance services. Services will include the buying and selling of financial instruments on behalf on the public sector.,,
2019-09-12 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-428482-2019,,Public Sector Energy Mid-Market Inquiry,"CCS would like to engage with licenced suppliers who can offer dual fuel tariffs, flexible tariffs and/or flex products. Opportunities around customer self generation, green energy and market opportunities will also be explored. We would also be interested in engaging with suppliers who are licensed to supply Northern Ireland customers. This will be available to all UK Public Sector Bodies, including Local Authorities, Health, Police, Fire and Rescue, Education and Devolved Administrations.If you would like to participate, please contact CCS at: Project6166@crowncommercial.gov.uk",,
2017-05-05 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-169751-2017,,Networks,"The provision of data access services, to facilitate connectivity to the Health and Social Care Network (HSCN) and additional telecommunication and network services, to be determined. 
It is anticipated that the Services to be covered by this Procurement will be sub-divided into Lots or Categories, the structure to be defined as a result of engagement carried out subsequent to this PIN. 
Some public sector bodies may also require PSN Services, it is recommended that suppliers familiarise themselves with the PSN and accreditation process https://www.gov.uk/government/groups/public-services-network. 
Crown Commercial Service use an eTendering System to conduct all of its procurements. You will need to be registered to use the eSourcing portal in order to participate in any CCS procurement opportunities https://gpsesourcing.cabinetoffice.gov.uk",,
2018-03-06 00:00:00+00,2018-03-06 00:00:00+00,2018-03-20 00:00:00+00,"Government Digital Service, part of Cabinet Office",,,ocds-0c46vo-0070-6481,,WP1559: Procurement and contracting reforms multi-discipline team (re-issued),"Design and implementation of:(1) digital, data and technology procurement and contracting reforms(2) flexible service/resourcing models to support cross government demand(3) collaborative stakeholder relationship plans
- To help address the current issues that arise from inconsistent, lengthy and complex digital, data and technology procurement and contracting in the UK public sector- To help departments and public sector organisations transform by reducing friction within the digital, data and technology procurement and contracting lifecycle",,
2019-10-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-502142-2019,,Business Process Services,"Crown Commercial Service (CCS) plans to introduce a procurement for business process services, which will include contact centres, shared services and business process outsourcing. We plan to work extensively with the market and customers to develop a fit-for-purpose procurement strategy.",,
2019-10-24 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-501374-2019,,"Water, Wastewater and Ancillary Services (2)","— provision of ancillary goods, works and services in addition to the provision of water and waste water supplies may also be required,— it is envisaged that this will include, but not be limited to a wide range of procurement options and which allow for the greatest degree of control and transparency of pricing; new connections and site-works; metering; demand side management and innovations,— delivering water conservation measures; Automatic Meter Reading; Water reduction/management advice and guidance and implementation of recommendations (which may include sourcing of third- party services/technology).",,
2017-02-10 00:00:00+00,2017-02-10 00:00:00+00,2017-02-24 00:00:00+00,Transformation Peer Group (Cabinet Office),,,ocds-0c46vo-0070-1882,,WP1304 - Transformation Map Requirements,"Develop a dynamic mapping tool of government transformation strategy across government, highlighting dependancies and programme information.
Departments cannot currently see how their programme relates to other programmes across government. This in turn leads to activities being duplicated across government.   Departments cannot see how other programmes depend upon them, leading to poor decisions for the whole of government being taken.   Ministers cannot see how their department has to work with other departments to achieve their priorities. This leads to resourcing being improperly allocated across the department.  Treasury cannot plan cross government programmes as they cannot not see how these programmes fit into wider government transformation.",,
2017-08-01 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-299399-2017,,Recruitment services,"Provision of services to support the permanent recruitment (including fixed term appointments) of junior grades across multi role professions. 
Provision of services to support the permanent recruitment (including fixed term appointments) of DDaT (including cyber security roles). 
Provision of services to support the permanent recruitment (including fixed term appointments) of Commercial roles. Example roles (but not limited to) include those in procurement, policy and project management. 
Provision of services to support the permanent recruitment (including fixed term appointments) of Finance roles. Example roles (but not limited to) include accountants, auditors and analysts. 
Provision of services to support the permanent recruitment (including fixed term appointments) of HR roles. Example roles (but not limited to) include recruitment, workforce management and HR policy. 
Provision of services to support the permanent recruitment (including fixed term appointments) of Marketing roles. Example roles (but not limited to) include communications, events, campaign and press managers. 
Provision of services to support the permanent recruitment (including fixed term appointments) of Legal roles. Example roles (but not limited to) include paralegals and lawyers. 
Provision of services to support the permanent recruitment (including fixed term appointments) of Executive Search and Selection. Multi role specialisms, grade 6 — SCS3. 
Provision of services to support the permanent recruitment (including fixed term appointments) of non-executive and executive search and selection of multi role professions.",,
2017-03-13 00:00:00+00,2017-03-13 00:00:00+00,2017-03-27 00:00:00+00,Transformation Peer Group (Cabinet Office),,,ocds-0c46vo-0070-2099,,WP1339 Government Transformation Map,"Develop a dynamic mapping tool of government transformation strategy across government, highlighting dependancies and programme information.
Departments cannot currently see how their programme relates to other programmes across government. This in turn leads to activities being duplicated across government. Departments cannot see how other programmes depend upon them, leading to poor decisions for the whole of government being taken. Ministers cannot see how their department has to work with other departments to achieve their priorities. This leads to resourcing being improperly allocated across the department.  Treasury cannot plan cross government programmes as they cannot not see how these programmes fit into wider government transformation.",,
2018-11-06 00:00:00+00,,2018-12-03 00:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-488584-2018,,Online Tests and Assessment Platform,"Crown commercial service are acting as an “Agent” and will be conducting this procurement on before of Cabinet Office the “Authority”. 
The purpose of the contract is to provide Civil Service HR (CSHR) “the Customer”, a test platform responsible for the delivery of online tests and assessments for recruitment across all civil service departments (circa 400 000 staff). The requirement is to provide a platform for authoring, assembling and delivering online tests and assessments. 
The platform will be provided as software-as-a-service including the support to manage and maintain the platform. 
The test platform is required to allow independent access to the client’s users instead of this work being handed to the supplier.",,
2019-05-15 15:21:57+00,,2019-04-10 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-933b6c25-025e-47e9-aa09-b9882a4a5de0,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,The Provision of National Security Communicators L&amp;D Course for Cabinet Office,"Cabinet Office required delivery of an accredited capability programme, with a blended bespoke programme provided for national security communicators.",0,GBP
2019-04-23 10:52:22+00,,2018-07-31 00:00:00+00,Cabinet Office : Cabinet Office,,,ocds-0c46vo-0001-10959411-6fa6-434e-8c0c-7f900714b7bf,Crown Commercial Service on behalf of Cabinet Office : Cabinet Office,Provision of Pension Library Information Service for the CSPS,Provision of Pension Library Information Service for the CSPS.,0,GBP
2018-12-01 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-530188-2018,,Energy Trading System,To provide CCS trading and risk teams with an energy trading system to allow management of customer aggregated basket demands for UK power and gas.,,
2018-06-18 00:00:00+00,2018-06-18 00:00:00+00,2018-07-02 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0070-7067,,Cabinet Office lead product manager,Lead the digital team to transition Ethnicity facts and figures from public beta on GOV.UK to live.This is a great opportunity to work on a high-profile project with significant ministerial interest that has social impact and is underpinned by user needs.This role falls outside IR35.,,
2018-06-18 00:00:00+00,2018-06-18 00:00:00+00,2018-07-02 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0070-7067,,Cabinet Office lead product manager,Lead the digital team to transition Ethnicity facts and figures from public beta on GOV.UK to live.This is a great opportunity to work on a high-profile project with significant ministerial interest that has social impact and is underpinned by user needs.This role falls outside IR35.,,
2018-06-18 00:00:00+00,2018-06-18 00:00:00+00,2018-07-02 00:00:00+00,Cabinet Office,CABINET OFFICE,Central Government,ocds-0c46vo-0070-7067,,Cabinet Office lead product manager,Lead the digital team to transition Ethnicity facts and figures from public beta on GOV.UK to live.This is a great opportunity to work on a high-profile project with significant ministerial interest that has social impact and is underpinned by user needs.This role falls outside IR35.,,
